maintenanceId,carId,mileage
1,3,15000
2,3,30000
3,3,45000
4,3,60000
5,3,75000
6,3,90000
7,3,105000
8,3,120000
9,3,135000
10,3,150000
11,3,165000
12,3,180000
13,3,195000
14,3,210000
15,3,225000
16,3,240000
17,4,15000
18,4,30000
19,4,45000
20,4,60000
21,4,75000
22,4,90000
23,4,105000
24,4,120000
25,4,135000
26,4,150000
27,4,165000
28,4,180000
29,4,195000
30,4,210000
31,4,225000
32,4,240000
33,5,15000
34,5,30000
35,5,45000
36,5,60000
37,5,75000
38,5,90000
39,5,105000
40,5,120000
41,5,135000
42,5,150000
43,5,165000
44,5,180000
45,5,195000
46,5,210000
47,5,225000
48,5,240000
49,6,15000
50,6,30000
51,6,45000
52,6,60000
53,6,75000
54,6,90000
55,6,105000
56,6,165000
57,6,180000
58,6,195000
59,6,210000
60,6,225000
61,6,240000
62,1,15000
63,1,30000
64,1,45000
65,1,60000
66,1,75000
67,1,90000
68,1,105000
69,1,120000
70,1,135000
71,1,150000
72,1,165000
73,1,180000
74,1,195000
75,1,210000
76,1,225000
77,1,240000
78,2,15000
79,2,30000
80,2,45000
81,2,60000
82,2,75000
83,2,90000
84,2,105000
85,2,120000
86,2,135000
87,2,150000
88,2,165000
89,2,180000
90,2,195000
91,2,210000
92,2,225000
93,2,240000
